Distrito/Ciudad,Residuos
Alameda de Osuna,20094.855123684334
Alcalá de Henares,25265.13936288026
Alcobendas,22938.008369581046
Alcorcón,28189.47334323029
Almendrales,15464.713736201506
Arganda del Rey,11998.921265332901
Berruguete,16907.828350092284
Brunete,19391.90306033021
Canillejas,16338.082681946413
Carabanchel,16751.94474446212
Castillejos,16609.32214905534
Ciudad Lineal,26555.28162100949
Collado Villalba,13928.247361634683
Coslada,9830.546272006977
Daganzo de Arriba,13641.285499169986
Fuencarral,27654.36053766335
Fuenlabrada,10970.80561560228
Getafe,9207.972801706783
Guadarrama,20845.450237747835
Humanes de Madrid,15489.783105113776
Latina,15139.260151119379
Leganés,29252.21338229667
Los Santos De La Humosa,1761.7329391384992
Lucero,23042.05471588031
Meco,23191.556997958105
Moscardo,12903.384995957254
Móstoles,16438.83265838769
Opañel,24398.242839995248
Orcasitas,24200.831942536824
Parla,16315.270146095543
Pilar,2081.579629540385
Portazgo,14557.572531791986
Rosas,21776.10018113535
San Cristóbal,28666.204725495452
San Diego,28654.57941200558
Simancas,12555.724205932027
Torrejón de Ardoz,19828.245056291693
Universidad,19615.586086153548
Valdezarza,17494.253656932793
Ventas,5080.717192240467
Villa de Vallecas,24930.16684267875
moratalaz,12246.857294401692
vinateros,27457.585957780408
