,Dormitorios,Superficie,Num_baños,Metro,Renfe,Tipo_de_inmueble,Año_de_construccion,Calefaccion,Etiqueta,Aire acondicionado,Ascensor,Jardin,Tipo,distrito/ciudad,Latitud,Longitud,Precio,residuos
0,4.0,139.0,2.0,1.0,1.0,Popular,1977.0,0.0,En proceso,0.0,1.0,0.0,piso,Universidad,40.425426,-3.7060234,298500.0,14552.0
1,3.0,79.0,1.0,1.0,1.0,Popular,1979.0,1.0,G,0.0,1.0,0.0,piso,Fuenlabrada,40.282476,-3.7923422,139900.0,6920.0
2,2.0,75.0,1.0,1.0,0.0,Popular,2003.0,1.0,E,0.0,1.0,0.0,piso,Valdeacederas,40.4679108,-3.7034226,350000.0,117528.0
3,5.0,105.0,2.0,0.0,1.0,Señorial,1966.0,1.0,En proceso,0.0,1.0,0.0,piso,Torrejón de Ardoz,40.4587767,-3.4793343,230000.0,33898.0
4,3.0,90.0,2.0,1.0,0.0,Popular,1994.0,1.0,En proceso,1.0,1.0,0.0,piso,Canillas,40.4618893,-3.6433517,420000.0,91550.0
5,3.0,91.0,1.0,1.0,0.0,Popular,1965.0,1.0,E,1.0,0.0,0.0,piso,Opañel,40.3903949,-3.7221926,175000.0,47678.0
6,3.0,94.0,1.0,1.0,0.0,Popular,1988.0,0.0,En proceso,0.0,1.0,0.0,piso,Rosas,40.4278,-3.6006,190000.0,8880.0
7,3.0,180.0,3.0,0.0,0.0,Señorial,2006.0,1.0,E,0.0,0.0,1.0,casa,Aranjuez,40.03221,-3.6039604,193000.0,131850.0
8,3.0,87.0,1.0,0.0,1.0,Media,1973.0,1.0,F,1.0,1.0,0.0,piso,Parla,40.2373952,-3.7718902,115000.0,26650.0
9,3.0,62.0,1.0,1.0,0.0,Popular,1960.0,0.0,E,0.0,0.0,0.0,piso,Moscardo,40.3890429,-3.7057718,129900.0,1506.0
10,4.0,113.0,2.0,1.0,1.0,Popular,1973.0,1.0,D,1.0,1.0,0.0,piso,Aluche,40.392356,-3.7571096,240000.0,104396.0
11,2.0,48.0,1.0,1.0,0.0,Popular,1960.0,0.0,E,0.0,0.0,0.0,piso,Simancas,40.4362,-3.6248,140000.0,38316.0
12,3.0,116.0,2.0,0.0,0.0,Señorial,1978.0,1.0,E,1.0,1.0,0.0,piso,Colmenar Viejo,40.6587726,-3.7659722,345000.0,28742.0
13,2.0,65.0,1.0,1.0,0.0,Popular,1965.0,1.0,E,0.0,1.0,0.0,piso,Canillejas,40.4416267,-3.6093074,165000.0,1728.0
14,1.0,50.0,1.0,1.0,1.0,Popular,1960.0,0.0,D,0.0,0.0,0.0,piso,Villaverde,40.3511231,-3.6997748,75000.0,13082.0
15,4.0,72.0,2.0,1.0,0.0,Media,1950.0,1.0,E,1.0,0.0,0.0,piso,Valdezarza,40.4649542,-3.717074,200000.0,118564.0
16,2.0,60.0,1.0,0.0,0.0,Media,1960.0,1.0,En proceso,1.0,1.0,0.0,piso,Aranjuez,40.03221,-3.6039604,77260.0,33754.0
17,3.0,174.0,3.0,0.0,1.0,Popular,1987.0,1.0,E,1.0,1.0,0.0,piso,Collado Villalba,40.6431496,-3.9930128,299000.0,97306.0
